,0,1,2,3,4,5
127,Miriam Bale,Freelance film critic,US,Inside Llewyn Davis,Joel and Ethan Coen,2013
128,Miriam Bale,Freelance film critic,US,The Story of Marie and Julien,Jacques Rivette,2003
129,Miriam Bale,Freelance film critic,US,Bamboozled,Spike Lee,2000
130,Nicholas Barber,BBC Culture,UK,Boyhood,Richard Linklater,2014
131,Nicholas Barber,BBC Culture,UK,Under the Skin,Jonathan Glazer,2013
132,Nicholas Barber,BBC Culture,UK,Anomalisa,Duke Johnson and Charlie Kaufman,2015
133,Nicholas Barber,BBC Culture,UK,12 Years a Slave,Steve McQueen,2013
134,Nicholas Barber,BBC Culture,UK,Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath and Conrad Vernon",2012
135,Nicholas Barber,BBC Culture,UK,Another Year,Mike Leigh,2010
136,Nicholas Barber,BBC Culture,UK,The Diving Bell and the Butterfly,Julian Schnabel,2007
137,Nicholas Barber,BBC Culture,UK,Children of Men,Alfonso Cuarón,2006
138,Nicholas Barber,BBC Culture,UK,The Social Network,David Fincher,2010
139,Nicholas Barber,BBC Culture,UK,A Separation,Asghar Farhadi,2011
140,Diego Batlle,La Nacion,Argentina,WALL-E,Andrew Stanton,2008
141,Diego Batlle,La Nacion,Argentina,In the Mood for Love,Wong Kar-wai,2000
142,Diego Batlle,La Nacion,Argentina,Spirited Away,Hayao Miyazaki,2001
143,Diego Batlle,La Nacion,Argentina,Boyhood,Richard Linklater,2014
144,Diego Batlle,La Nacion,Argentina,The Son's Room,Nanni Moretti,2001
145,Diego Batlle,La Nacion,Argentina,Extraordinary Stories,Mariano Llinás,2008
146,Diego Batlle,La Nacion,Argentina,Mulholland Drive,David Lynch,2001
147,Diego Batlle,La Nacion,Argentina,The Social Network,David Fincher,2010
148,Diego Batlle,La Nacion,Argentina,Elephant,Gus Van Sant,2003
149,Diego Batlle,La Nacion,Argentina,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010
150,NT Binh,Positif,France,Mulholland Drive,David Lynch,2001
151,NT Binh,Positif,France,Talk to Her,Pedro Almodóvar,2002
152,NT Binh,Positif,France,The Assassin,Hou Hsiao-hsien,2015
